"FieldGoalDistance","FieldGoalResult","HomeTeam","Month","KickerName","desc"
25,1,"DEN","9","J.Tucker","(:10) J.Tucker 25 yard field goal is GOOD, Center-M.Cox, Holder-S.Koch."
30,1,"DEN","9","J.Tucker","(5:33) J.Tucker 30 yard field goal is GOOD, Center-M.Cox, Holder-S.Koch."
48,1,"BUF","9","S.Gostkowski","(4:51) S.Gostkowski 48 yard field goal is GOOD, Center-D.Aiken, Holder-R.Allen."
33,1,"BUF","9","S.Gostkowski","(10:52) S.Gostkowski 33 yard field goal is GOOD, Center-D.Aiken, Holder-R.Allen."
35,1,"BUF","9","S.Gostkowski","(:09) S.Gostkowski 35 yard field goal is GOOD, Center-D.Aiken, Holder-R.Allen."
26,1,"PIT","9","R.Bironas","(4:33) (Field Goal formation) R.Bironas 26 yard field goal is GOOD, Center-B.Brinkley, Holder-B.Kern."
44,1,"PIT","9","R.Bironas","(6:06) (Field Goal formation) R.Bironas 44 yard field goal is GOOD, Center-B.Brinkley, Holder-B.Kern."
27,1,"PIT","9","R.Bironas","(3:57) (Field Goal formation) R.Bironas 27 yard field goal is GOOD, Center-B.Brinkley, Holder-B.Kern."
23,1,"NO","9","M.Bryant","(1:30) M.Bryant 23 yard field goal is GOOD, Center-J.Harris, Holder-M.Bosher."
48,1,"NO","9","G.Hartley","(10:58) G.Hartley 48 yard field goal is GOOD, Center-J.Drescher, Holder-L.McCown."
31,1,"NO","9","G.Hartley","(1:50) G.Hartley 31 yard field goal is GOOD, Center-J.Drescher, Holder-L.McCown."
22,1,"NO","9","G.Hartley","(3:16) G.Hartley 22 yard field goal is GOOD, Center-J.Drescher, Holder-L.McCown."
43,1,"NYJ","9","N.Folk","(11:06) N.Folk 43 yard field goal is GOOD, Center-T.Purdum, Holder-R.Malone."
30,1,"NYJ","9","N.Folk","(5:09) N.Folk 30 yard field goal is GOOD, Center-T.Purdum, Holder-R.Malone."
37,1,"NYJ","9","R.Lindell","(:38) R.Lindell 37 yard field goal is GOOD, Center-A.Economos, Holder-M.Koenen."
48,1,"NYJ","9","N.Folk","(:15) N.Folk 48 yard field goal is GOOD, Center-T.Purdum, Holder-R.Malone."
27,1,"CAR","9","S.Hauschka","(9:40) S.Hauschka 27 yard field goal is GOOD, Center-C.Gresham, Holder-J.Ryan."
40,1,"CAR","9","S.Hauschka","(2:26) S.Hauschka 40 yard field goal is GOOD, Center-C.Gresham, Holder-J.Ryan."
58,1,"CHI","9","R.Gould","(:13) (Field Goal formation) R.Gould 58 yard field goal is GOOD, Center-P.Mannelly, Holder-A.Podlesh."
45,1,"CLE","9","C.Sturgis","(1:33) (Field Goal formation) C.Sturgis 45 yard field goal is GOOD, Center-J.Denney, Holder-B.Fields."
49,1,"CLE","9","C.Sturgis","(13:42) (Field Goal formation) C.Sturgis 49 yard field goal is GOOD, Center-J.Denney, Holder-B.Fields."
39,1,"CLE","9","B.Cundiff","(3:05) (Field Goal formation) B.Cundiff 39 yard field goal is GOOD, Center-C.Yount, Holder-S.Lanning."
36,1,"CLE","9","C.Sturgis","(4:02) (Field Goal formation) C.Sturgis 36 yard field goal is GOOD, Center-J.Denney, Holder-B.Fields."
33,1,"DET","9","D.Akers","(5:00) D.Akers 33 yard field goal is GOOD, Center-D.Muhlbach, Holder-S.Martin."
42,1,"DET","9","D.Akers","(14:52) D.Akers 42 yard field goal is GOOD, Center-D.Muhlbach, Holder-S.Martin."
52,1,"DET","9","B.Walsh","(6:47) B.Walsh 52 yard field goal is GOOD, Center-C.Loeffler, Holder-J.Locke."
48,0,"IND","9","S.Janikowski","(:04) S.Janikowski 48 yard field goal is No Good, Wide Left, Center-J.Condo, Holder-M.King."
38,1,"IND","9","S.Janikowski","(5:46) S.Janikowski 38 yard field goal is GOOD, Center-J.Condo, Holder-M.King."
48,0,"SF","9","P.Dawson","(1:37) P.Dawson 48 yard field goal is No Good, Wide Left, Center-K.McDermott, Holder-A.Lee."
27,1,"SF","9","P.Dawson","(14:21) P.Dawson 27 yard field goal is GOOD, Center-K.McDermott, Holder-A.Lee."
33,1,"SF","9","P.Dawson","(:30) P.Dawson 33 yard field goal is GOOD, Center-K.McDermott, Holder-A.Lee."
36,1,"STL","9","G.Zuerlein","(11:24) G.Zuerlein 36 yard field goal is GOOD, Center-J.McQuaide, Holder-J.Hekker."
30,1,"STL","9","J.Feely","(5:27) J.Feely 30 yard field goal is GOOD, Center-M.Leach, Holder-D.Zastudil."
50,0,"STL","9","J.Feely","(:05) J.Feely 50 yard field goal is No Good, Wide Right, Center-M.Leach, Holder-D.Zastudil."
25,1,"STL","9","G.Zuerlein","(14:00) G.Zuerlein 25 yard field goal is GOOD, Center-J.McQuaide, Holder-J.Hekker."
38,1,"STL","9","G.Zuerlein","(9:07) G.Zuerlein 38 yard field goal is GOOD, Center-J.McQuaide, Holder-J.Hekker."
48,1,"STL","9","G.Zuerlein","(:45) G.Zuerlein 48 yard field goal is GOOD, Center-J.McQuaide, Holder-J.Hekker."
30,1,"DAL","9","D.Bailey","(13:07) (Field Goal formation) D.Bailey 30 yard field goal is GOOD, Center-L.Ladouceur, Holder-C.Jones."
20,1,"DAL","9","J.Brown","(2:07) (Field Goal formation) J.Brown 20 yard field goal is GOOD, Center-Z.DeOssie, Holder-S.Weatherford."
38,1,"DAL","9","D.Bailey","(10:07) (Field Goal formation) D.Bailey 38 yard field goal is GOOD, Center-L.Ladouceur, Holder-C.Jones."
45,1,"DAL","9","D.Bailey","(12:16) (Field Goal formation) D.Bailey 45 yard field goal is GOOD, Center-L.Ladouceur, Holder-C.Jones."
48,1,"WAS","9","A.Henery","(9:20) A.Henery 48 yard field goal is GOOD, Center-J.Dorenbos, Holder-D.Jones."
40,0,"WAS","9","K.Forbath","(6:30) K.Forbath 40 yard field goal is No Good, Wide Right, Center-N.Sundberg, Holder-S.Rocca."
51,0,"SD","9","R.Bullock","(2:06) R.Bullock 51 yard field goal is No Good, Wide Left, Center-J.Weeks, Holder-S.Lechler."
41,1,"SD","9","R.Bullock","(:05) R.Bullock 41 yard field goal is GOOD, Center-J.Weeks, Holder-S.Lechler."
